country,latitude,longitude,year,t2m_celsius,source
American Samoa,-14.3333,-170.0,202008,27.44,NASA POWER
American Samoa,-14.3333,-170.0,202009,27.4,NASA POWER
American Samoa,-14.3333,-170.0,202010,27.74,NASA POWER
American Samoa,-14.3333,-170.0,202011,27.66,NASA POWER
American Samoa,-14.3333,-170.0,202012,27.75,NASA POWER
American Samoa,-14.3333,-170.0,202013,27.96,NASA POWER
American Samoa,-14.3333,-170.0,202101,27.85,NASA POWER
American Samoa,-14.3333,-170.0,202102,27.72,NASA POWER
American Samoa,-14.3333,-170.0,202103,28.05,NASA POWER
American Samoa,-14.3333,-170.0,202104,28.03,NASA POWER
American Samoa,-14.3333,-170.0,202105,28.16,NASA POWER
American Samoa,-14.3333,-170.0,202106,27.74,NASA POWER
American Samoa,-14.3333,-170.0,202107,27.42,NASA POWER
American Samoa,-14.3333,-170.0,202108,26.89,NASA POWER
American Samoa,-14.3333,-170.0,202109,27.08,NASA POWER
American Samoa,-14.3333,-170.0,202110,27.35,NASA POWER
American Samoa,-14.3333,-170.0,202111,27.71,NASA POWER
American Samoa,-14.3333,-170.0,202112,27.69,NASA POWER
American Samoa,-14.3333,-170.0,202113,27.64,NASA POWER
American Samoa,-14.3333,-170.0,202201,28.24,NASA POWER
American Samoa,-14.3333,-170.0,202202,27.43,NASA POWER
American Samoa,-14.3333,-170.0,202203,27.89,NASA POWER
American Samoa,-14.3333,-170.0,202204,28.14,NASA POWER
American Samoa,-14.3333,-170.0,202205,27.92,NASA POWER
American Samoa,-14.3333,-170.0,202206,27.65,NASA POWER
American Samoa,-14.3333,-170.0,202207,27.28,NASA POWER
American Samoa,-14.3333,-170.0,202208,26.51,NASA POWER
American Samoa,-14.3333,-170.0,202209,26.78,NASA POWER
American Samoa,-14.3333,-170.0,202210,27.03,NASA POWER
American Samoa,-14.3333,-170.0,202211,27.48,NASA POWER
